car,score,content,is_negative,input_negative
2026 혼다 CR-V 하이브리드,8.67,"타보니까 최악의 단점이있는대, 휴대폰과 디스플레이 연결이 자주 끊기는현상이있어 가끔 초기화시켜야함 이게 얼마나 큰 단점이냐면 주행중 내비가 꺼져서 초보자들은 길잘못들고 당황해지는 상황이 자주 발생하게된다는 것임",True,False
2026 혼다 CR-V 하이브리드,9.5,+ SUV에서 느껴지는 세단의 주행감. 롤링이 적고 단단한 하체. 시승하자마자 계획에도 없던 큰 차를 사게된 이유들. 무엇보다 디자인이 어느 차들보다도 마음에 들고 세련됐음. 내외부의 벌집모양 그릴과 아날로그 버튼들이 상남자스럽다고 느껴짐. - 음성인식이 구려서 구글 불러서 쓰고있긴 하나 차 기능통제가 안되는게 아쉬움. (내가 모르는걸지도) 우리나라 선호옵션인 통풍시트의 부재를 고려했을 때 가격경쟁력이 조금만 더 있었다면 우리나라 주력 차로 손색이 없었을 것..,True,False
2026 혼다 CR-V 하이브리드,10.0,디자인 연비 주행질감 정말좋아요 직접 타봐아 알수있어요 실연비가 훨씬 높아요,True,False
2026 혼다 CR-V 하이브리드,10.0,"싼타페, 라브4, glc 시승 후 주행성능, 승차감 등 모든 점에서 crvr가 마음에 들어 구매함. 다만 고속 주행시 풍절음, 노면소음은 아쉬움.",True,False
2026 혼다 CR-V 하이브리드,9.33,평균연비18-22 만족 장점은 크지않아도 단점은 없는 그런 차량..고장도없고,True,False
2026 혼다 CR-V 하이브리드,9.17,"1. 주행성능 : 아주 만족함, 가솓고 잘 붙음. 다만 약간의 풍절음은 존재함 2. 디자인 : 아주 만족, 특히 흰색이 이쁩니다. 3. 연비 : 연비는 개인별로 다르겠지만 복합 10.8 정도 나오네요",True,False
2026 혼다 CR-V 하이브리드,9.67,아주 많이 안족 하고 주행 연비 모두만족 합니다 기술의 혼다 인것 같습니다,True,False
2026 혼다 CR-V 하이브리드,9.67,차체의 강성 안전성 내구성 연비 승차감 모든게 좋아요 통풍시트가 없는데 이건 튜닝샵에서 튜닝 하려고 합니다,True,False
2026 혼다 CR-V 하이브리드,8.67,"일단 주행감이 탁월한건 인정입니다. SUV지만 승용차 같은 승차감이 느껴지고, 토요타 하이브리드에 비해 매우 정숙합니다. 다만 가격 대비 과하게 빈약한 옵션은 구매를 망설이게 할 수 밖에 없는 부분이네요. 이 가격에 정말 이 옵션이 최선인가 하는 생각이 차를 출고한 뒤에도 끊임 없이 들게 합니다. 이전 차량이 말도 안되는 고장으로 사람 뒷 목 잡게 만들던 티구안이었기에, 이런 빈약한 옵션에도 승차감, 연비, 내구성만 보고 구매했습니다. 내구성은 더 지켜봐야 하겠지만 승차감 연비는 박수 쳐줄 만 합니다.",True,False
2026 혼다 CR-V 하이브리드,8.33,"전체적인 만족도가 우수합니다. 운전자을 위한 주행 안전성,연비, 내구성이 이차량이 가지는 큰 장점임.",True,False
