car,score,content,is_negative,input_negative
2026 BMW X5 M,8.83,"동급 출력 차량중에 가성비대비 최고의 퍼포먼스. 약 630마력의 힘이 몸으로 느껴집니다. 단, 연비는 여타 고출력차량처럼 어쩔수 없음.",True,False
2026 BMW X5 M,9.33,말이 필요없는 차 달리도 싶은차 아쉬운 연비는 고속주행으로 날려버려~~~,True,False
2026 BMW X5 M,8.0,차에 타고있는 모든 순간이 흥미로운 멋진 차! 연비는 서울도심 기준 3킬로대! 고속도로 정속 순항 하면 10킬로까지 가능!,True,False
2026 BMW X5 M,7.83,"운전자 재미있다 동승자, 뒤자석 호불호가 있다 에어서스, 리어 조향 없는건 조금 아쉽다. 배기음 부족한 느낌이 든다. 연비 시내주행 5키로, 고속도로 10키로 나온다. 주유소 자주가야한다. ^^ 대체로 만족한다.",True,False
2026 BMW X5,9.67,"생각보다 디자인, 연비, 성능 등 월등합니다. 다음에 구입해도 또 비엠 살듯요",True,False
2026 BMW X5,8.67,차는 정말 좋음 덩치에 비해 시내 주행 연비는 베리 굿 다만 고속 주행시 연비는 아쉬움 가격대비 국내차량에 비해 실내 옵션이 조금 부족함,True,False
2026 BMW X5,9.83,고속에서 주행 안정감은 단연 최고라 하겠습니다 이 덩치에 그 속도에 차체 흔들림도 적고 반자율주행 너무 편하고요 에어서스펜션 덕분인지 SUV임에도 승차감도 참 좋네요,True,False
2026 BMW X5,9.17,차량 완성도는 좋습니다.X7은 출퇴근용으로 너무 크고 마을버스 모는 느낌이라 x5선택했는데 만족합니다. 다만 인기가 좋으니 매년 1-2회씩 가격을 스물스물 올려서 너무 비싼 느낌입니다. 고성능 차 쎄려밟을려고 샀는데 이전 차 디젤에서 넘어와 뚝뚝 떨어지는 고급유에 새색씨마냥 살포시 운전하고 다닙니다.1억대 초반이었으면 진정 육각형 차였을텐데..1.3억은 좀 쎄다 싶음.7인승 리클라이닝되서 예전처럼 뒷자리 불편하지 않음. 40d가 진정 좋을거 같아 기다렸으나 하늘의 별따기라 40i선택.타사와 달리 서비스가 2년인건 좀 에바같음.짱츠가 맛이 가니 bmw가 배짱임.,True,True
2026 BMW X5,9.33,"주행질감 좋음, 연비는 괜찮으나 고급유 비쌈, 냉간소음 심함 그러나 1분정도 있으면 소음이 사라짐, 전방 후 측방 센서 요란함, 준대형 suv에 비해 차량 내부가 약간 좁음. 7인승 추천",True,True
2026 BMW X5,10.0,"저공해차량으로 분류되어 주차혜택도 받을 수 있습니다! 공용주차장, 공항주차장 50%입니다. 주행감. 가속시 매우 안정적이며 소음도 거의 없습니다.",True,True
