car,score,content,is_negative,input_negative
2026 기아 카니발 하이리무진 하이브리드,9.0,전반적으로 좋음. 정숙함 연비 편의성,True,False
2026 기아 카니발 하이리무진 하이브리드,9.67,"주행성능, 디자인, 연비, 실내 공간 우수성 무엇하나 빠짐없이 마음에 듭니다.",True,False
2026 기아 카니발 하이리무진 하이브리드,7.0,"거주성은 좋습니다. 승차감이 오디세이 수준까지는 안됩니다 특히 3열 까지 고정으로 이용한다면 카니발과 오디세이, 시에나 꼭 3열 타보고 결정 하세요. 카니발로 고속도로에서 빨리 달리는 차들 종종 보는데, 직진은 좋지만 자세안전성이 좋은편이 아니라 할배운전 추천 합니다. 펀드라이빙 하시려면 다른차를 알아 보세요. 실연비는 트립에 찍힌거에서 10%정도 빼면 맞습니다. 트립 누적 15.4 실제 주유연비 13.6 17,000Km 시내:고속 7:3 입니다",True,False
2026 기아 카니발 하이리무진 하이브리드,10.0,생각보다 연비잘나오고 괜찮아요. 넓어서 이동하기 편합니다. 뒷자석 승객을위한 카니발인듯,True,False
2026 기아 카니발 하이리무진 하이브리드,7.0,연비 하나 믿고 갑니다....민폐운전 하면...17에서. 20까지 나와요...근데..가격조금 사악하거 빠른 주행은 어려워요,True,False
2026 기아 카니발 하이리무진 하이브리드,9.33,"오르막에서 정차했다가 올라갈때 약간 RPM 올라가는 거 제외하면, 연비 주행감 승차감 활용성 매우 만족함",True,False
2026 기아 카니발 하이리무진 하이브리드,10.0,카니발 3세대 디젤에 비해서 연비 소음 진동등등 비교 했을때 상당히 만족하고 있습니다.,True,True
2026 기아 카니발 하이리무진 하이브리드,9.67,차 크기에 비해 너무 부드러워요. 하이브리드라 연비도 좋고 승차감도 좋고 짐 공간도 넉넉하고... 최고입니다.,True,False
2026 기아 카니발 하이리무진 하이브리드,9.83,"여러명타긴 거주성이나 공간감등은 카니발이 경쟁차종이 없습니다. 기존 경유차에서 휘발유 하이브리드가 출시되면서 경유차의 고질적인 엔진소리나 떨림이 사라지고, 휘발유의 부담스럽던 연비와 자동차 세금문제가 해결되면서 상품성이 더 좋아짐 1.6 하이브리드라 출시전 우려가 많았으나 가족태우고 막 밟고 다닐차량 아니고 막상 몰아보니 1.6으로도 충분히 힘 부족하지 않습니다. 연비는 평균 15~17Km 정도 나와주는거 같네요. 오히려 두고두고 세금에서 혜택보니 2.5보다 1.6이 더 좋은 선택일수도 있음",True,False
2026 기아 카니발 하이리무진 하이브리드,9.67,연비. 가격. 성능. 어느것 하나 빠지지 않음. 그래비티의 외관 디자인은 승합차가 아닌suv준대형의 면모를 그대로 보여줌,True,False
2026 기아 카니발 하이리무진 하이브리드,8.67,이런큰차를 아반떼랑 같은 세금내고 타니는게 가장 큰 혜자임. 엔진돌아갈때 소리가 거슬리긴하지만 적응하면 괜찮음. 연비도 이제 1년탔는데 1만1천 복합 15.1km/L 나옴. 타이어 공기압 38~40 맞추고 모드는 스마트로 거의 주행. 에코는 오히려 연비가 안나옴 스마트로 어느정도 밟고 관성주행good 디자인 승차감은 원래 세단파여서 그런지 만족스럽진 않음 일반Suv보다 승차감 떨어지는편 하지만 쌍둥이 태우면서 부모님 모시기에는 이만한차가 없음! 슬라이딩도어는 무적이고 내장제가 고급스럽진않지만 경박하진않고 가성비 좋은차임 아기들 재우거나 정차중일때 엔진안돌아가는게 가장 큰 매력.,True,False
2026 기아 카니발 하이리무진 하이브리드,9.67,"최근 카니발 하이브리드 그래비티 7인승 모델을 구매해 운행 중입니다. 집에는 이미 승용차도 한 대 있어서, 이번 카니발은 패밀리카로 활용할 목적으로 구매했는데, 실제로 사용해보니 “역시 카니발!“이라는 말이 절로 나올 정도로 만족스럽습니다. 가장 먼저 체감되는 장점은 넓은 실내 공간입니다. 가족 4명 또는 부모님 포함 6명이 동시에 타도 전혀 답답하지 않고, 특히 2열 시트의 편안함은 최고 수준이에요. 리클라이닝 기능과 레그 서포트까지 있어서 편하게 있을 수 있습니다. 슬라이딩 도어의 실용성이 좋더군요. 좁은 주차장에서도 키를 이용해 앞뒤로 주차 공간에 넣고 빼고, 자동으로 여닫히는 기능 덕분에 양손에 짐을 들고 있을 때도 큰 도움이 됩니다. 패밀리카로써의 조건 – 공간, 안전, 편의성 – 모두 갖춘 차량입니다. 연비도 큰 차임을 감안하면 나름 만족합니다",True,False
2026 기아 카니발 하이리무진 하이브리드,7.5,장점. 디자인 좋음 거주성 좋음 단점. 엔진작음 언덕길 힘들어함 생각보다 연비가 높지않음 특히 고속주행시 연비나쁨,True,False
2026 기아 카니발 하이리무진 하이브리드,8.0,가솔릭 개입이 많아서 그게 아쉬움 그래도 연비도 좋고 승차감도 괜찮음 그리고 7인승이라 많이 편안함,True,False
2026 기아 카니발 하이리무진 하이브리드,7.67,전반적으로 좋은데 무엇보다 시트안정성이 부족합니다. 그리고 전기로 움직이는데 부드러움이 부족합니다.,True,False
2026 기아 카니발 하이리무진 하이브리드,8.5,"달리는 차가 아니다보니 주행에 불편함은 없습니다. 또한 하이브리드다보니 생각보다는 연비가 좋습니다. 제가 속도를 많이 내는 편이 아니라 그런지 1년 7000km주행 누적연비 16km입니다. 2열 탑승 자리 너무 편하고 좋으며, 특장 작업으로 3열에서 차박도 가능해 만족하며 타고있습니다. 트렁크가 아주 넓지는 않습니다. 한줄평은 저는 운전기사 역할이며, 아이들이 엄청 좋아합니다.",True,False
2026 기아 카니발 하이리무진 하이브리드,8.83,곧 1년이 되가는데 차량은 아주 맘에 듭니다 연비도 좋고 승차감도 좋고...연비 줄이는 맛에 운전 습관이 바꼈어요...좀 와일드하게 운전하는 스타일이였는데 지금은 정속주행하는 습관으로...ㅎㅎ 와일드하게 운전하면 연비 작살이거든요!!! ㅋ,True,False
