car,score,content,is_negative,input_negative
2026 폭스바겐 골프 GTI,9.67,150프로 만족하면서 타고있습니다. 생각보다 잡소리가 없고 주행성능은 그냥 너무 압도적으로 좋습니다 연비 시내 7~9 고속 15~16 나오네요 에코로 편하게 달리다가 스포츠 모드로 바꾸는순간 이차만큼 바뀌는 차는 없을겁니다.. 재밌어요,True,False
2026 폭스바겐 골프 GTI,7.67,코너링머신 장거리정속주행시 놀라운 연비 노면 좋은곳에선 아주 좋은 승차감이나 그립감이지만 노면이 나쁘면 차가 부서질까 두려움,True,False
2026 폭스바겐 골프 GTI,7.67,대체로 만족 1열 승하차시 시트가 다리에 걸그적거림 순정네비구림. 안드로이드오토 가끔 오류,True,False
2026 폭스바겐 골프 GTI,8.83,"8세대 GTI 이제 1만 km 탔습니다! 장점 출퇴근할 때 운전이 재밌어서 빨리 운전하고 싶습니다. 정말 신나고 재밌게 운전할 수 있습니다. 공도에 동일 차량이 많이 없습니다. 동급 수입차 대비 옵션이 좋습니다(크루즈, 통풍, 엉따, 핸들 열선 등) 연비도 도심~고속 7~16 사이로 만족합니다.(연비보고 사는 차는 아닌듯합니다ㅎㅎ) 단점 잡소리 소프트웨어가 느림(국산차 대비 정말 답답합니다.) 메인 공조 버튼 밤에 안 보임 비상등 누르다가 다른 버튼 누르는 경우가 다수 생김 국산차 대비 수리비가 비싸고(당연하지만) 센터 예약하기 힙듭니다. 결과적으로 직접 운전하는 제가 너무 만족해서 항상 즐겁게 타고 있습니다. 아반떼 N과 고민하다가 gti 선택했고 물론 아반떼도 궁금하지만, 아N의 이미지 때문에... GTI 선택하길 잘한듯 합니다.",True,False
2026 폭스바겐 골프 GTI,9.67,"[8.5세대 TDI 신차 구매] - 디젤 차량이라는 것을 모를 정도로 차량 내부는 정숙하고 승차감은 부드러움 - 미친 연비 시내 평균 15는 기본이고 고속도로에서 연비주행하면 23~4는 우습게 찍힘 - 외부 디자인 미쳤음, 클래식의 현대적 해석을 곁들인...독일차 답게 유행타지 않으면서 골프 특유의 아이덴티티를 잘 살림. 주변 사람들도 이쁘다고 난리임. - 내부 디자인 : 인포 화면이 커져서 최신 차량 다움. 과거 투박한 독일차의 이미지를 많이 벗어남 - 최대 장점 : 가성비 포르쉐 답게 운전 하는 맛이 기가 막힘. 굳이 GTI 까지 가지 않더라도 TDI로도 운전 재미를 충분히 느낄 수 있음. - 아쉬운 점 : 통풍 시트, 헤드업 디스플레이 (내장 내비가 없어 무용 지물), 조수석 시트 조절 수동, 트렁크 수동 총 평 : 진짜 세계 3대 명차 포르쉐 911, BMW 5시리즈, 폭스바겐 골프가 과장된 말이 아닌걸 느낌.",True,False
2026 폭스바겐 골프 GTI,10.0,"8세대 GTI 깔게없다. 50년 헤리티지를 그대로 느낄 수 있다. 가격도 싸고 복잡한 서울에서도 요리조리 다니기 편한. 데일리로 운용하기 아주 적합함. 달리고 싶을때 쭈욱 잘 나가고 으르렁거리는 배기음도 여심을 울리는 🔥🔥🔥 지루하지 않고 장거리 주행도 크루즈기능이 있어 편함 운전하는게 재밌음 뽑은지 5개월째, 탈때마다 기분좋은 차. 해치백 디자인이 아주 잘빠졌고 옆모습과 뒷태가 특히 예쁘다고 생각. 하나 좀 불편한건 개인적으로 물리버튼과 아날로그를 좋아하는데 시대에 맞춰 다 터치식 패널이라는점. 온도조절계와 음량조절부분에 불이 안들어와서 잘 안보임.. 그래도 인간은 적응의 동물이라고 적응하면서 타는중 +IQ라이트 감탄하면서 타는중. 라이트 진짜 좋음. Led라 더 밝은 느낌이고 첨 타면서 오토라이트가 신기해서 오오 했었음. 막히는 시내주행 연비는 soso(나쁘면10정도나옴), 고속도로타면 15-16까지 나옴!(안막힐때)",True,False
2026 폭스바겐 골프 GTI,8.0,"현기타다 처음 독일차 타보는 건데 다시는 현기 못탈거 같네요. 핸들링, 악셀, 브레이크 등 밸런스 진짜 미친 차라고 생각합니다. 뒷자석 좁고 인포테이먼트는 좀 불편.. 시내 평균연비 9 나오는데 연비 바라고 타는 차는 아니니까.. 이거 말곤 불만 없습니다.",True,False
2026 폭스바겐 골프 GTI,10.0,"차량 성능, 디자인, 연비 모두 만족 안드로이드 오토나 소프트웨어 는 불편함",True,False
2026 폭스바겐 골프 GTI,6.83,패밀리카론 당연히 작고 주차시설 헬인곳에 살아서 편한데 가끔 너무작아서 답답할때가잇죠 1인 신조로 탄다면 더없리 좋은차,True,False
2026 폭스바겐 골프 GTI,8.17,거주공간 빼고 아주 만족합니다. 옵션이 다소 부족하지만 엄청 불편한건 아니고요.,True,False
2026 폭스바겐 골프 GTI,10.0,"해치백은 그 용도와 실용성, 뒷좌석 폴딩의 사용이 반복적으로 있는 사람에게는 만점. 지금까지 평균 50리터 만땅, 주유수첩 보니 평균 970km. 발가락 신공 고속도로만 주행시 최고 35.1km. 카페가면 연비왕들 기절할 수준. 대형견 두마리 산책이동, 코스트코 이마트 장보기, 부피 큼 짐 실기에 이보다 더 좋은 차가 있을지. 운동성능은 체급 최대이고 골프의 질리지 않는 디자인에 이제 모두 탑재된 오토크루즈, 무선 카플레이, 차선유지, 급제동, 후측방경고 및 제동 등 모든 최신 기술이 들어가면서 이젠 최고가 된 골프. 5세대 gti, 6세대 gtd, 7세대 에 이어 8세대까지 오는 동안 단 한번도 후회한 적 없는 차. 집에 큰 suv 보그가 한대 있어 시내 데일리하기 편하고 유지비 싼 골프와 장거리 가족용 suv 2대가 최고의 조합이라 생각함.",True,False
2026 폭스바겐 골프 GTI,9.0,"주행성능이 말도안되는 미친 차, 타본 사람만이 알수있는 이 느낌..오래오래 함께하자 내 골프",True,False
