car,score,content,is_negative,input_negative
2026 BMW X5,9.17,차량 완성도는 좋습니다.X7은 출퇴근용으로 너무 크고 마을버스 모는 느낌이라 x5선택했는데 만족합니다. 다만 인기가 좋으니 매년 1-2회씩 가격을 스물스물 올려서 너무 비싼 느낌입니다. 고성능 차 쎄려밟을려고 샀는데 이전 차 디젤에서 넘어와 뚝뚝 떨어지는 고급유에 새색씨마냥 살포시 운전하고 다닙니다.1억대 초반이었으면 진정 육각형 차였을텐데..1.3억은 좀 쎄다 싶음.7인승 리클라이닝되서 예전처럼 뒷자리 불편하지 않음. 40d가 진정 좋을거 같아 기다렸으나 하늘의 별따기라 40i선택.타사와 달리 서비스가 2년인건 좀 에바같음.짱츠가 맛이 가니 bmw가 배짱임.,True,True
2026 BMW X5,9.33,"주행질감 좋음, 연비는 괜찮으나 고급유 비쌈, 냉간소음 심함 그러나 1분정도 있으면 소음이 사라짐, 전방 후 측방 센서 요란함, 준대형 suv에 비해 차량 내부가 약간 좁음. 7인승 추천",True,True
2026 BMW X5,10.0,"저공해차량으로 분류되어 주차혜택도 받을 수 있습니다! 공용주차장, 공항주차장 50%입니다. 주행감. 가속시 매우 안정적이며 소음도 거의 없습니다.",True,True
2026 BMW X5,7.83,주행성능은 좋아요 다만 고급유 주유소 찾기가 불편해요 전체적으로 자세는,True,True
2026 BMW X5,10.0,"안전장치, 주행질감, 엔진소음 등 전반적으로 만족합니다. 아직 짧은 주행거리지만 별문제 없습니다.",True,True
2026 BMW X5,7.83,"25.2월말 구매후 두달간의 사용 후기임 -장점- 1. 전기주행으로만 시내 및 근교 커버 가능한 경제성(100킬로미터 기준 휘발유 대비 40% 수준의 충전비용) 2. 넘사벽인 반자율주행. RRS와 끝까지 고민끝에 반자율 차이로 뒤도안돌아보고 X5로 선택 -단점- 1. 저속에서 엔진가동시 고rpm으로 이질적인 주행감. 스포츠모드든 s모드든 왜 변속타이밍을 이따구로 만들었는지 이해불가(고rpm으로 시끄러워 저속에서 다니기 민망할 수준) 2. 대리를 이용하며 뒷자리에 앉았다가 정말 후회함(리클라인 불가모델). 서있고, 좌석 딱딱하고 발공간은 툭튀어나온 송부기때문에 애매하고 구매시 고민했던 RRS가 구라없이 백배는 편함 3. 앞좌석이나 뒷자석이나 좌석 폭이 타차량에 비해 짧음(g30에서 넘어간건데 g30이 비교안되게 편함) 4. 계기판 삐딱하게 치우쳐져있는건 살때부터 거슬림 5. 타고내릴때 이게 생각보다 많이 불편함(키178cm 기준)",True,True
2026 BMW X5,8.67,"차량의 디자인은 현재 최신모델 보다 개인적으론 더 맘에들고, 높이에 따른 탑승 및 하차시 약간의 불편함이 개선되었으면 하는 바램이 있네요. 나머지는 뭐 로망인차라 만족하며 타고 있습니다.",True,True
2026 BMW X5,8.83,"X5 라는 차 명성에 맞게 전체적으로 모두 훌륭합니다. 다만 외관에 비해 좁은 실내와 몇몇 가격대비 원가절감 소재들이 조금 아쉽습니다. 3.0 디젤 치곤 연비는 만족합니다. 잘 달리고 시원하게 다녀도 기본 11~13 나오고 고속도로 정속주행시 15 이상 나옵니다. 3.0 6기통이라 소음도 거슬리는 수준 아니고 디젤 초반 토크로 힘있는 가속도 마음이 듭니다. 가격이 이미 1억이 넘어서 가성비 차량이라곤 할 수 없으나 운전자가 즐거운차, 패밀리카면서 즐거운차인건 틀림없습니다.",True,True
2026 BMW X5,9.17,다좋으데 뒷자리 시트가 고정되서 불편 한거 같네요 시동이 걸려 있는 상태에서 운전석 문을 열면 시동이 자동으로 꺼지는 기능은 안좋은것 같아요,True,True
2026 BMW X5,7.5,생각보다 기름을 좀 먹어요 나머지는 나름 만족합니다 뒷자석은 생각보다 많이 불편합니다,True,True
2026 BMW X5,8.67,6기통이라 주행이 부드럽고 엔진소음이 거의 없습니다. 반면에 마일드하이브리드라 연비도 9.5km/l 정도는 나오는 것 같습니다. 다만 에어서스가 조금 통통튀는 듯한 느낌이 있습니다. 또 서비스센터 퀄리티가 불만족스럽습니다. 에어카플레이 연결이 조금 불안합니다.,True,True
