car,score,content,is_negative,input_negative
2026 기아 카니발 하이리무진 하이브리드,10.0,카니발 3세대 디젤에 비해서 연비 소음 진동등등 비교 했을때 상당히 만족하고 있습니다.,True,True
2026 기아 카니발 하이리무진 하이브리드,8.33,디자인 내부 품질 다좋습니다. 다만 언덕이나 고각의 업힐을 올라갈때 엔진개입시 알피엠이 무지막지하게 오릅니다. 하이브리드를 쏘면서 탈일은 없지만 정말 급한일이있어 새벽 고속도로에서 쏘아본적이있습니다. 예 연비 8 찍히더라구요. 역시 하브 쏘고다닐 차는 아닙니다. 정속주행시 고속도로 14-15찍힙니다 (100기준) 시내 연비 역시 비슷합니다. 14-16 하이브리드로 기름값 걱정 덜었다 ....정도는 아닙니다. '-'. 소음이 줄었지만 엔진 개입시 엔진음 여실히 들려옵니다. 카니발 디젤 2.2 페리전모델을 타다 2년만에 하브왔습니다만... hud랑 핸들바뀐것... 만족스럽지만. 뭐 크게 다를것은없습니다. 만족감이라면 소음제외하고 2.2 디젤이 좀더 좋았던것 같습니다 2.2 디젤도 시내 10-12 고속 14-16은 나왔습니다. 기름값은... 경유가 차라리 더 만족스러웠던것 같기도....,True,True
2026 기아 카니발 하이리무진 하이브리드,6.17,생각보다는소음 연비가 그러네요 디자인은그렇고요 차량이더크다고 했는데 그렇게 느겨지지 않고요,True,True
2026 기아 카니발 하이리무진 하이브리드,8.83,카니발 하이브리드 구매후 주유 횟수가 줄었고 전체적인 소음도 매우 만족스럽습니다. 특히 거주성은 단연 국내외 차량중 최고 인듯 합니다.,True,True
2026 기아 카니발 하이리무진 하이브리드,8.33,차량의 무게감은 있으나 하체에서 올라오는 노면소음이 거슬리고 시속 100km에서 풍절음이 들어오고 하체의 단단함이 약간 아쉽습니다. 과속하지않고 차분하게 운행하면 대체적으로 만족합니다,True,True
2026 기아 카니발 하이리무진 하이브리드,8.0,장점은 다른 분들이 많이 쓰셔서 단점 위로 써보려고합니다. 차량 받은지 얼아마 안되서 아직 전체적으로 체감하지 못하고 있지만 눈에 띄는 단점으로는 엔진 시동시 너무 시끄럽습니다. 1.6T가솔린인데 42만 뛴 디젤카니발(R2.2)하고 비슷한 크기의 소음이 납니다. 물론 진동은 디젤만큼 쎄지는 않지만 소음은 거의 비슷합니다. 심지어 소리 자체도 질감이 더 나쁩니다. 참고로 1.6T하브 투싼도 있는데 투싼하고 비교해도 너무 비끄럽습니다. 힘 많이 딸리네요. 아니 밟으면 어느정도 나가긴하는데 연비가 개망이고 연비생각하고 살살가면 너무 힘이 없고.. 주행거리 짧으신분들 가솔린 추천하구요. 진동에 민감하지 않다면 디젤 추천합니다. 크렐 오디오 별로네요. 전에 타던 JBL보다 못한것 같습니다. 특히 베이스 부분은 너무 약해서 우퍼가 있는건지도 모르겠습니다. 그리고 가격이 안드로메다로 가고 있습니다. 7인 그레비티 선룹빠진 풀옵인데 차량가격+취등록세+보험까지 6100가까이 들어갔네요.,True,True
2026 기아 카니발 하이리무진 하이브리드,9.17,가격이야 싸다면싸고 비싸다면 비싸다볼수있겠죠.. 개인의 취향 포인트는 다들 다르시겠지만 개인적으로 저는 무엇보다 조용해서 좋구요 차량크기대비 힘부족한거 잘 모르겠구요.. 연비 무난히 잘나오구요 현제는 4인가족이 편안히 타고다닐만큼 공간성또한 따라올차가없죠~ 급가속 또는 오르막길같은곳에서 저배기량 특성상 RPM을 높게사용해 엔진소음이 유입되는데..그또한 평상시에 너무조용해서 신경쓰이는게 아닐까? 생각해보네요~,True,True
2026 기아 카니발 하이리무진,6.67,"렉서스 rx350 10년정도 타다가. 카니발로 넘어왔네요. 같은 v6 3500cc인데.. 주행하다보니 자꾸 비교가되네요. 일단.디자인은 좋아요. 거주성최고. 아이들링.상태나 저속 60-70km미만에선 아주조용하고 S클래스 느낌날정도로 좋더라구요 하지만 80km넘어가면서 노면(바닥소음)을 읽으면서 가는게 느끼지고.. 고속으로가면 10년넘은 렉서스 보다 시끄럽네요 그래도 첨단장비 탑제되어 주행이 편해요 신세계를 경험중입니다. 시내주행은 렉서스보다 좀 못나오는듯하며, 고속80km이상주행은 연비가 13정도 나와줘서 좋네요 엔진룸 열면 소음이.좀 나는편인데 실내에선 아주조용하네요. 10년넘은 렉서스는 엔진룸열어도 엔진소음이 조용한편이였.... 2025년식이라 최첨단장비를 몸소느끼며 즐겁게.타고있습니다. 이제 신차 900km주행했네요 ㅎㅎ 잔고장없이 이차도 렉서스처럼 10년넘게 탔으면 합니다.",True,True
2026 기아 카니발 하이리무진,9.67,핸들링 주행감도 생각보다 좋고 승차감도 좋은데 버닥소음이 내부로 올라오는것 빼곤 좋은차인것같네요 디젤이라 시끄러울줄 알았는데 조용하고 연비 잘나오고 맘에들고 가장장점인 실내공간감 차박용으로는 최고이지 싶네요,True,True
2026 기아 카니발 하이리무진,8.83,"가족 나들이용으로. 최고 입니다. 특히 가솔린은 소음도 거의 없어서 와이프도 편안해 하고, 아기도 편하게 잠을 잘 자네요.",True,True
