car,score,content,is_negative,input_negative
2026 메르세데스-벤츠 GLE 쿠페,9.33,승차감이 좋지만 가격은 너무 비싼듯.. 주행이 너무 편해서 재미가 없음. 글거서 잠이 잘와요 ㅎㅎ 소음거의없고 실내가 넓음 뒷자리를 위한 차,True,True
2026 메르세데스-벤츠 GLE 쿠페,8.0,"GLE450 23년4월구매했는데 요즘, 주행중에 뒷쪽에서 소음이 좀있어요 서스펜션 시스템에 문제가 있는것처럼 다른분들도 그러신지요",True,True
2026 메르세데스-벤츠 GLE 쿠페,9.83,"24년식 기준, 한 달 타보고 느낀 점. 1. 반자율이 생각보다 잘 됨 편함., 2. 연비좋음 만땅시 에코모드 + 발컨이면 1200km 감, 3. 정숙성 디젤인데 조용함 안에서는 밖에서는 시끄러울 수도. 여튼 내부에서는 생각보다 조용함 지인들 타면 가솔린인줄 함, 단 저속에서 가속시에 소음있음. 대충 20~40km?정도 달릴 때 소음발생), 4. 무선 안드로이드오토, 5. 부메스터스피커 좋음 6. 공간 넓음 특히 2열은 충분히 넓음. 7. 파워클로징 기대안했는데 좋음. 8. 제네시스 고민하다 GLE구매했는데 GV80대비 옵션/내부마간이 떨어짐 그래도 이거 사길 잘한 것 같음. 만족하면서 잘 타는 중",True,True
2026 메르세데스-벤츠 GLE 쿠페,9.0,외관 성능 다 좋습니다. 다만 디젤이라 엔진소음이 개선되었다고는 하지만 여전하네요...그것빼고는 튼튼하고 잘나가고 연비도 좋고 만족합니다.,True,True
2026 메르세데스-벤츠 GLE 쿠페,8.83,전기주행은 매우 정숙하고 승차감 부드러워 대만족. 그러나 가솔린엔진 개입시 디젤엔진처럼 엔진소음이 크게 들림. 디젤인가?,True,True
2026 메르세데스-벤츠 GLE 쿠페,9.17,편안하고 넉넉한 공간 다만 와이퍼 소음같은 문제는 아직 해결하지 못한 문제 연비는 고속에서 매우 좋은편이며 차가 조금 높아서 세차시에는 조금 불편함,True,True
2026 메르세데스-벤츠 GLE 쿠페,9.67,마지막 디젤이라 소음진동연비 우수하고 풀옵션 수준이라 좋습니다 무게가 있어 초반굼뜸 제외하고 모두 우수!,True,True
2026 메르세데스-벤츠 GLE 쿠페,10.0,쾌적하고 승차감좋고 편안해서 거실소파같은 느낌입니다. 장거리에도 피곤하지않아요. 너무 편안해서 꿀잠. 소음거의없고 suv로는 최고의 선택,True,True
2026 메르세데스-벤츠 GLE 쿠페,10.0,벤츠의 마지막 디젤 엔진 소음 진동 연비 힘 두루 우수함 패밀리카로 최적의 공간과 승차감을 가지고 있음,True,True
2026 메르세데스-벤츠 GLE 쿠페,9.0,패밀리카로 좋아요 뒷자리 넓고 트렁크도 정말 커요 벤츠는 가속성도 제동력도 정말 좋아서 운전하는 맛이 나요 디젤이지만 소음도 크지 않고 덜덜거림도 없어 탑승하신 타차 분들 정말 놀래요,True,True
