년도,모델명,제조사,유종,배기량,복합연비,등급,CO2 배출량,평균주행거리(km),경유 단가(원/L),1년 유지비(원)
2019,BMW X3 xDrive20d,BMW,경유,1995,12.1,3등급,162,15000,"1,474.20","1,827,520"
2019,레인지로버 이보크 2.0D,랜드로버,경유,1999,12.3,3등급,156,15000,"1,474.20","1,797,804"
2019,Q2 35 TDI,아우디,경유,1968,15.1,2등급,125,15000,"1,474.20","1,464,437"
2019,"스포티지 2.0디젤 2WD 8AT (PE/18""타이어)",기아,경유,1995,14.1,2등급,134,15000,"1,474.20","1,568,297"
2019,Peugeot 2008 1.5 BlueHDi,PSA Automobiles,경유,1499,15.1,2등급,124,15000,"1,474.20","1,464,437"
2019,카이엔 디젤,포르쉐,경유,2967,10.8,4등급,187,15000,"1,474.20","2,047,500"
2019,"스포티지 2.0디젤 2WD 8AT (PE/17""타이어)",기아,경유,1995,14.4,2등급,131,15000,"1,474.20","1,535,625"
2019,BMW 420d Coupe RDE2,BMW,경유,1995,13.2,3등급,145,15000,"1,474.20","1,675,227"
2019,"팰리세이드 2.2디젤 2WD 7인(18"" 타이어)",현대,경유,2199,12.6,3등급,151,15000,"1,474.20","1,755,000"
2019,렉스턴스포츠 2.2 디젤 2WD 6MT SCR,쌍용,경유,2157,11.3,4등급,171,15000,"1,474.20","1,956,902"
2019,BMW 520d,BMW,경유,1995,13.4,3등급,142,15000,"1,474.20","1,650,223"
2019,벤츠 E 220 d Cabriolet,벤츠,경유,1950,13.4,3등급,142,15000,"1,474.20","1,650,223"
2019,BMW 320d,BMW,경유,1995,14.3,2등급,132,15000,"1,474.20","1,546,363"
2019,BMW 730d xDrive WLTP,BMW,경유,2993,11.6,3등급,166,15000,"1,474.20","1,906,293"
2019,SQ5 TDI,아우디,경유,2967,11.5,4등급,168,15000,"1,474.20","1,922,869"
2019,Citroen C4 Cactus 1.5 BlueHDi,PSA Automobiles,경유,1499,15.5,2등급,121,15000,"1,474.20","1,426,645"
2019,BMW 630d,BMW,경유,2993,11.4,4등급,170,15000,"1,474.20","1,939,736"
2019,Peugeot 508 GT 2.0 BlueHDi,PSA Automobiles,경유,1997,13.3,3등급,143,15000,"1,474.20","1,662,631"
2019,"QM6 1.7 DIESEL (2WD 17"" Tire)",르노삼성,경유,1749,14.4,2등급,132,15000,"1,474.20","1,535,625"
2019,GV70 2.2디젤 2WD 21인치 (스포츠패키지),현대,경유,2151,12.6,3등급,152,15000,"1,474.20","1,755,000"
2019,싼타페 2.2디젤 2WD 5인 20인치타이어,현대,경유,2151,13.6,3등급,139,15000,"1,474.20","1,625,955"
2019,A4 35 TDI,아우디,경유,1968,15.9,2등급,117,15000,"1,474.20","1,390,754"
2019,BMW X3 xDrive30d,BMW,경유,2993,11.3,4등급,175,15000,"1,474.20","1,956,902"
2019,BMW 218d Gran Coupe,BMW,경유,1995,14.3,2등급,132,15000,"1,474.20","1,546,363"
2019,G80 2.2디젤 AWD 19인치타이어,현대,경유,2151,12.7,3등급,151,15000,"1,474.20","1,741,181"
2019,S6 TDI,아우디,경유,2967,11.4,4등급,169,15000,"1,474.20","1,939,736"
2019,Arteon 2.0 TDI,폭스바겐,경유,1968,15,2등급,125,15000,"1,474.20","1,474,200"
