순번,년도,모델명,제조사,유종,배기량,복합연비,등급,평균주행거리(km),전비(km/kWh),에너지단가(원/kWh),1년 유지비(원)
1,2019,코나 전기자동차 (도심형),현대,전기,0.0,5.8,고속,15000,5.6,173.8,465535.7142857144
2,2019,Model S Long Range Plus,테슬라코리아 유한회사,전기,0.0,4.4,고속,15000,4.6,173.8,566739.1304347827
3,2019,EV SAVER(파워테크닉스 세이버 KNCSZ76ADK803665),파워테크닉스,전기,0.0,1.6,고속,15000,1.6,173.8,1629375.0
4,2019,Change,AD모터스,전기,0.0,4.3,저속,15000,4.3,173.8,606279.069767442
5,2019,e-tron 50 uattro,아우디,전기,0.0,2.9,고속,15000,2.9,173.8,898965.5172413794
6,2019,Model 3 Long Range,테슬라코리아 유한회사,전기,0.0,5.0,고속,15000,5.1,173.8,511176.47058823536
7,2019,코나 전기자동차 (기본형),현대,전기,0.0,5.6,고속,15000,5.6,173.8,465535.7142857144
8,2022,BMW i3 94Ah,BMW,전기,0.0,5.4,고속,15000,5.4,347.2,964444.4444444443
9,2019,LEAF PLUS,닛산,전기,0.0,4.8,고속,15000,4.8,173.8,543125.0
10,2019,아이오닉 전기차(PE),현대,전기,0.0,6.3,고속,15000,6.3,173.8,413809.5238095239
11,2019,Model S Performance,테슬라코리아 유한회사,전기,0.0,4.2,고속,15000,4.6,173.8,566739.1304347827
12,2019,Peugeot e-2008 SUV,PSA Automobiles,전기,0.0,4.3,고속,15000,4.3,173.8,606279.069767442
13,2019,D2P,쎄미시스코,전기,0.0,5.2,고속,15000,5.2,173.8,501346.1538461538
14,2019,Model S 100D,테슬라코리아 유한회사,전기,0.0,4.0,고속,15000,4.6,173.8,566739.1304347827
15,2019,"타이칸 4S (High, 5인승)",포르쉐,전기,0.0,2.9,고속,15000,2.9,173.8,898965.5172413794
16,2019,e-tron 55 uattro,아우디,전기,0.0,3.0,고속,15000,3.0,173.8,869000.0
17,2019,Model X P100D,테슬라코리아 유한회사,전기,0.0,3.1,고속,15000,3.1,173.8,840967.741935484
18,2019,Model 3 Performance,테슬라코리아 유한회사,전기,0.0,4.7,고속,15000,5.1,173.8,511176.47058823536
19,2019,Model X 75D,테슬라코리아 유한회사,전기,0.0,3.4,고속,15000,3.4,173.8,766764.705882353
20,2019,파워프라자 봉고3ev PEACE,(주)파워프라자,전기,0.0,2.4,고속,15000,2.4,173.8,1086250.0
21,2019,파워프라자 라보 ev PEACE,한국지엠,전기,0.0,3.5,고속,15000,3.5,173.8,744857.1428571428
22,2019,Model X Performance,테슬라코리아 유한회사,전기,0.0,3.7,고속,15000,3.7,173.8,704594.5945945946
23,2019,DANIGO 3,(주)대창모터스,전기,0.0,6.1,고속,15000,6.1,173.8,427377.0491803279
24,2019,CEVO-C,Supa Motor Limited,전기,0.0,6.4,고속,15000,6.4,173.8,407343.75
25,2024,BMW iX xDrive50,BMW,전기,0.0,3.7,4등급,15000,3.7,347.2,1407567.5675675673
26,2019,재규어 I-PACE EV400,재규어,전기,0.0,3.5,고속,15000,3.5,173.8,744857.1428571428
27,2019,D2C,쎄미시스코,전기,0.0,5.2,고속,15000,5.2,173.8,501346.1538461538
28,2019,Model X 75D,테슬라코리아 유한회사,전기,0.0,4.1,고속,15000,4.1,173.8,635853.6585365855
29,2019,아이오닉 전기차 (18MY),현대,전기,0.0,6.3,고속,15000,6.3,173.8,413809.5238095239
30,2019,TWIZY Urban(2인승),르노삼성,전기,0.0,7.9,고속,15000,7.9,173.8,330000.0
31,2019,LSEV,코리아에어카고,전기,0.0,4.4,고속,15000,4.4,173.8,592500.0
32,2019,포터일렉트릭,현대,전기,0.0,3.1,고속,15000,3.1,173.8,840967.741935484
33,2019,Model S Performance,테슬라코리아 유한회사,전기,0.0,4.3,고속,15000,4.6,173.8,566739.1304347827
34,2019,CHEVROLET BOLT EV,GM,전기,0.0,5.4,고속,15000,5.4,173.8,482777.77777777775
35,2019,타이칸 4S (High),포르쉐,전기,0.0,2.9,고속,15000,2.9,173.8,898965.5172413794
36,2019,Danigo(다니고),(주)대창모터스,전기,0.0,5.3,저속,15000,5.3,173.8,491886.7924528303
37,2019,TWIZY Cargo(1인승),르노삼성,전기,0.0,7.9,고속,15000,7.9,173.8,330000.0
38,2019,BMW i3 94Ah,BMW,전기,0.0,5.4,고속,15000,5.4,173.8,482777.77777777775
39,2019,e-tron Sportback 50 uattro,아우디,전기,0.0,3.0,고속,15000,3.0,173.8,869000.0
40,2019,Model S P100D,테슬라코리아 유한회사,전기,0.0,3.8,고속,15000,4.6,173.8,566739.1304347827
41,2019,Model X Long Range Plus,테슬라코리아 유한회사,전기,0.0,4.0,고속,15000,4.0,173.8,651750.0
42,2019,LEAF,닛산,전기,0.0,5.2,고속,15000,5.2,173.8,501346.1538461538
43,2019,DS3 CROSSBACK E-TENSE,PSA Automobiles,전기,0.0,4.3,고속,15000,4.3,173.8,606279.069767442
44,2019,Model X 100D,테슬라코리아 유한회사,전기,0.0,4.1,고속,15000,4.1,173.8,635853.6585365855
45,2019,Peugeot e-208,PSA Automobiles,전기,0.0,4.4,고속,15000,4.4,173.8,592500.0
